activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5df4574e320437000295795b,5de7e593d0943c000243b8d8,2019-12-21,RBR,Big - Curitiba - Santa Felicidade,8,8,8,0.53,0.53,15,12.0,6,,ok
5df84bdcd3acef0002dff7e4,5d1652d3e141580002708d43,2019-12-24,RBR,Big - Curitiba - Santa Felicidade,10,15,10,0.67,1.0,15,12.0,2,,ok
5dfaeee4115f0f0002ae5e45,5d1652d3e141580002708d43,2019-12-26,RBR,Big - Curitiba - Santa Felicidade,12,15,12,0.8,1.0,15,21.0,4,,ok
5e0186574fdeac0002853211,5de7e593d0943c000243b8d8,2019-12-31,RBR,Big - Curitiba - Santa Felicidade,10,15,10,0.67,1.0,15,22.0,8,,ok
5e06cc54525fda00023ee8d5,5cc86453bc41910038188d7a,2020-01-04,RBR,Big - Curitiba - Santa Felicidade,14,15,14,0.93,1.0,15,7.0,2,,ok
5e0ac0d9eb7e040002d019b7,5dc316d4455d6a0002dfab27,2020-01-07,RBR,Big - Curitiba - Santa Felicidade,15,15,0,1.0,1.0,15,12.0,2,,ok
5e1006de2f9b7b0002436ce7,5dffe7a0c835730002398fa6,2020-01-11,RBR,Big - Curitiba - Santa Felicidade,3,3,3,0.2,0.2,15,26.0,19,,ok
5e169e67c6758a0002a07fc4,5d1652d3e141580002708d43,2020-01-16,RBR,Big - Curitiba - Santa Felicidade,5,15,5,0.33,1.0,15,27.0,4,,ok
5e1d35e3184d0100025bbef5,5d6a67e857564a000280bcd4,2020-01-21,RBR,Big - Curitiba - Santa Felicidade,11,15,11,0.73,1.0,15,7.0,7,,ok
5ddc9c5ce4b35e0002567ae3,5d7d8911f35a310002363dc4,2019-12-03,RBR,Walmart - Curitiba - Juvevê,10,15,10,0.67,1.0,15,34.0,6,,ok
5de879eec39d530002546ab6,5cc77920e3cc6f003875753a,2019-12-12,RBR,Walmart - Curitiba - Juvevê,6,6,14,0.4,0.4,15,165.0,9,,ok
5e06cc559eafbf000298a33d,5dd97ac0a653040002ed1704,2020-01-04,RBR,Walmart - Curitiba - Juvevê,15,15,15,1.0,1.0,15,13.0,0,,ok
5e1fd8e1189e170002744889,5dfc41c60c86380002cc5e8b,2020-01-23,RBR,Walmart - Curitiba - Juvevê,15,15,15,1.0,1.0,15,14.0,4,,ok
5de4854e466e04000297fd18,5d434aef4cb39500023ccdfc,2019-12-09,LOHN BIER,Big - Curitiba - Boa Vista,12,12,12,1.0,1.0,12,11.0,2,,ok
5de48558466e04000297fd27,5cebc12eb9a0660034789ef4,2019-12-09,LOHN BIER,Big - Curitiba - Av. Paraná,0,12,0,0.0,1.0,12,5.0,6,,ok
5de879e7bed62b000204d68a,5dbc21b2e883f000021556ce,2019-12-12,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,7.0,4,,ok
5dedbfe160f5d400024abd3e,5d9f89dd18bb460002151a1f,2019-12-16,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,18.0,2,,ok
5df1b44eb9a66300027175de,5d7ad8c943ae200002cbc807,2019-12-19,LOHN BIER,TodoDia - Araucária,11,11,12,0.92,0.92,12,9.0,4,,ok
5df6fa5140340c0002f1dffd,5d9f89dd18bb460002151a1f,2019-12-23,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,15.0,10,,ok
5dfaeecaa368a0000204c5eb,5d55d5b2bb4e0f0002312e00,2019-12-26,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,4.0,2,,ok
5e096f4ff54aec00020ff320,5d7ad8c943ae200002cbc807,2020-01-06,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,7.0,2,,ok
5e12a9f6e6e6910002c3d115,5dd937f284c8500002ce188a,2020-01-13,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,22.0,3,,ok
5e169e60617e060002ffa1a5,5e07690b8115ea0002a42423,2020-01-16,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,13.0,4,,ok
5e1be466fe58c100023304e9,5cc764c5e3cc6f00387529f3,2020-01-20,LOHN BIER,TodoDia - Araucária,0,12,0,0.0,1.0,12,9.0,4,,ok
5e1fd8cac4267f0002d61e96,5d1574b198473f0002f113bc,2020-01-23,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,7.0,2,,ok
5e251ed75173e80002f083a1,5dbc21b2e883f000021556ce,2020-01-27,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,6.0,6,,ok
5e291363b0a17b0002c61637,5e1a5aa15a1fe10002ba28a1,2020-01-30,LOHN BIER,TodoDia - Araucária,12,12,12,1.0,1.0,12,17.0,4,,ok
