activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5e25ae0127e0ef0002d19e46),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Rua Joinville,5de71d91c46ae70002e5e4eb,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e25b567292ce80002b9adbb),MOINHO DO NORDESTE,Condor - Curitiba - Marechal,5d1eb0ac05834f0002a6f85f,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e25b698292ce80002b9b0cb),MOINHO DO NORDESTE,Condor - Campo Largo - Centro,5da71b107fb7170002ad6e33,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e25bece75e5340002efb502),MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,5df6b310cb2a980002b788d3,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e25c19f9529320002473964),MOINHO DO NORDESTE,Condor -  Londrina,5d669adf3a6c7e0002b841f0,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e25cc1e0eee8200028ef3e1),MOINHO DO NORDESTE,Condor - Curitiba - Brasília,5d1eb0ac05834f0002a6f85f,2020-01-20,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e25d70f708ad2000290d7c5),MOINHO DO NORDESTE,Condor -  Paranaguá - Raia,5ce897b9b9a066003474ac32,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e25d9f4708ad2000290d956),MOINHO DO NORDESTE,Condor - Curitiba - Ahú,5de7a14fccd3f400029548b6,2020-01-20,2,2,2,0.66666666666666663,0.66666666666666663,3,0,,1
ObjectId(5e25e0f9821e41000266d27e),MOINHO DO NORDESTE,Condor - Ponta Grossa - Centro,5dd55e22d49b8e0002893a62,2020-01-20,1,2,1,0.33333333333333331,0.66666666666666663,3,0,,1
ObjectId(5e25f06f689e090002017288),MOINHO DO NORDESTE,Condor - Almirante Tamandaré - Alto Pinheiros,5de7a14fccd3f400029548b6,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2603b162f30800023bdb4d),MOINHO DO NORDESTE,Condor - Colombo - Maracanã,5db24c0697ea550002b56add,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e26086d62f30800023bde47),MOINHO DO NORDESTE,Condor - Curitiba - Santa Felicidade,5d1652d3e141580002708d43,2020-01-20,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e26122af5ba330002c1b7f2),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5d94b47d7574da0002e493d5,2020-01-20,0,0,1,0.0,0.0,3,0,,1
ObjectId(5e2621e9603de60002d9970e),MOINHO DO NORDESTE,Condor - Ponta Grossa - Jd. Carvalho,5dd55e22d49b8e0002893a62,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2623b8603de60002d998f1),MOINHO DO NORDESTE,Condor - Curitiba - São Braz,5dffe7a0c835730002398fa6,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2627f3f5ba330002c1c719),MOINHO DO NORDESTE,Condor - Curitiba - Torres,5dd2a665849da70002026762,2020-01-20,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e268c842437eb00021b9af4),MOINHO DO NORDESTE,Condor - Curitiba - Santa Quitéria,5cc764c5e3cc6f00387529f3,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e268d747a8eab00026d58ec),MOINHO DO NORDESTE,Condor - Fazenda Rio Grande,5cc764c5e3cc6f00387529f3,2020-01-20,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e268f782437eb00021b9b94),MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,5cc764c5e3cc6f00387529f3,2020-01-13,0,1,0,0.0,0.33333333333333331,3,0,,1
ObjectId(5e2690632437eb00021b9be6),MOINHO DO NORDESTE,Condor - Fazenda Rio Grande,5cc764c5e3cc6f00387529f3,2020-01-13,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e27094df4cee4000271655f),MOINHO DO NORDESTE,Condor - Curitiba - Ahú,5e0147bd87e3f10002390449,2020-01-21,2,2,2,0.66666666666666663,0.66666666666666663,3,0,,1
ObjectId(5e270b2ff4cee4000271663c),MOINHO DO NORDESTE,Condor - Curitiba - Novo Mundo,5db0ed3108a9ce00021639c6,2020-01-21,2,2,2,0.66666666666666663,0.66666666666666663,3,0,,1
ObjectId(5e270ed27d04a2000262ae29),MOINHO DO NORDESTE,Condor - São José dos Pinhais - Centro,5de71d91c46ae70002e5e4eb,2020-01-21,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e271b964a888e000248fc2b),MOINHO DO NORDESTE,Condor - Curitiba - Derosso,5db0ed3108a9ce00021639c6,2020-01-21,0,2,0,0.0,0.66666666666666663,3,0,,1
ObjectId(5e271ca64a888e000248fcc2),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5dffe7a0c835730002398fa6,2020-01-21,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e271ca67d04a2000262c24a),MOINHO DO NORDESTE,Condor - Curitiba - Champagnat,5dffe7a0c835730002398fa6,2020-01-21,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e2728357d04a2000262cbac),MOINHO DO NORDESTE,Condor -  Paranaguá - Raia,5ce897b9b9a066003474ac32,2020-01-21,0,0,0,0.0,0.0,3,0,,1
ObjectId(5e272e0e7915dc0002245fac),MOINHO DO NORDESTE,Condor - Curitiba - Santa Felicidade,5de7e593d0943c000243b8d8,2020-01-21,0,2,0,0.0,0.66666666666666663,3,0,,1
