activityId;workerId;date;companyName;establishmentName;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5dd7e9ce3e34100002a3dfc2);5dba2ec821b78d000233c88e;27/11/2019;COCA-COLA FEMSA;Mercadorama - Curitiba - Comendador Araújo;0;0;0;0.0;0.0;115;141.0;16;2;1
ObjectId(5dd7ea8a58ae2300020cfffa);5d4752559842d60002d9641d;23/11/2019;COCA-COLA FEMSA;Condor - Curitiba - Ahú;0;0;0;0.0;0.0;115;138.0;20;2;1
ObjectId(5dd7ec35cd0d5f00028a5902);5dc8bc4b1d748d00029a51cb;26/11/2019;COCA-COLA FEMSA;Big - Curitiba - Boa Vista;0;0;0;0.0;0.0;115;198.0;12;2;1
ObjectId(5dd81c60b6d6d9000214e603);5dc8bc4b1d748d00029a51cb;24/11/2019;COCA-COLA FEMSA;Condor - Colombo - Maracanã;0;0;0;0.0;0.0;115;153.0;12;2;1
ObjectId(5dd81c60e9b02c0002e37290);5dbb60edcaaa3b000206a06e;24/11/2019;COCA-COLA FEMSA;Condor - Curitiba - Boa Vista;0;0;0;0.0;0.0;115;49.0;8;2;1
ObjectId(5dd81d74c392f900028f7b7a);5d4f4c5918d17300029d4c85;23/11/2019;COCA-COLA FEMSA;Condor - Curitiba - Nilo Peçanha;0;0;0;0.0;0.0;115;57.0;8;1;1
ObjectId(5ddd6de7c73ff1000203aa59);5dc8bc4b1d748d00029a51cb;30/11/2019;COCA-COLA FEMSA;Condor - Curitiba - Boa Vista;0;0;0;0.0;0.0;115;240.0;22;2;1
ObjectId(5dea5a1871629500026f8036);5cc77920e3cc6f003875753a;09/12/2019;COCA-COLA FEMSA;TodoDia - Araucária;0;0;0;0.0;0.0;115;167.0;17;1;1
ObjectId(5dec6e4972539f00027630ef);5dd07e89596a5300027525f6;15/12/2019;COCA-COLA FEMSA;TodoDia - Araucária;0;0;0;0.0;0.0;115;89.0;13;2;1
ObjectId(5df0e3146e015e000261054e);5ddbc93fa0858200020cc22b;12/12/2019;COCA-COLA FEMSA;Mercadorama - Curitiba - Bacacheri;0;0;0;0.0;0.0;115;130.0;19;2;1
ObjectId(5e0513b983e08b0002b00143);5d705860e78ae40002821a3e;27/12/2019;COCA-COLA FEMSA;Condor - Curitiba - Champagnat;0;0;0;0.0;0.0;115;354.0;26;1;1
