activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5db747c5e5682c0002ffca3c);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5d24a44330397c00024bdf6a;01/11/2019;0;0;0;0.0;0.0;140;104.0;30;2;1
ObjectId(5db747e0efd9eb00022548d6);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5da86820f83c3300028dd090;30/10/2019;0;0;0;0.0;0.0;314;288.0;22;1;1
ObjectId(5db747e1efd9eb00022548de);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5d7d87d6f35a310002363d77;31/10/2019;0;0;0;0.0;0.0;314;122.0;20;1;1
ObjectId(5db87517b8563c0002cbf64b);RBR;Big - Curitiba - Av. Paraná;5d92a44ddaf60800023761b3;04/11/2019;0;15;0;0.0;1.0;15;12.0;6;1;1
ObjectId(5db897efc721c7000235ca97);COCA-COLA FEMSA;Condor - Curitiba - Cristo Rei;5d5592f1908c800002a39c3f;30/10/2019;0;0;0;0.0;0.0;174;87.0;20;2;1
ObjectId(5db8980fc721c7000235ca9c);COCA-COLA FEMSA;Condor - Curitiba - Cristo Rei;5d5592f1908c800002a39c3f;30/10/2019;0;0;0;0.0;0.0;140;99.0;18;2;1
ObjectId(5db898440bfea400024f2b14);COCA-COLA FEMSA;Condor - Curitiba - Cristo Rei;5da4e04a1df65e0002395f4f;30/10/2019;0;0;0;0.0;0.0;314;163.0;40;2;1
ObjectId(5db8ae42a1de3f0002c3c326);NOVA ALIANÇA;Condor -  Maringá  - Av. Paranà;5d387f53d31d0e0002015b55;02/11/2019;0;14;0;0.0;0.56;25;2.0;2;2;1
ObjectId(5db8b0d1e8b63000020e08ad);P&G;Max Contemporânea Atacarejo - Araucária;5d9f89dd18bb460002151a1f;06/11/2019;0;0;0;0.0;0.0;54;0;48;1;1
ObjectId(5dbb17cbfeccda0002510bca);P&G;Dalpar - Novo Mundo;5da5f89c3778a80002097293;01/11/2019;3;0;0;0.083333333333333329;0.0;36;0;20;2;1
