activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5da72aae14a5060002791540),MR. CRUMS,Big - Curitiba - Pinheirinho,5d16487bb67b2200027fd0b0,2019-10-18,3,19,3,0.14285714285714285,0.90476190476190477,21,4,7.0,ok
ObjectId(5da72ab314a5060002791554),MR. CRUMS,Maxxi - Curitiba - Boqueirão,5d89e8e1dcd22f0002496741,2019-10-18,19,19,19,0.90476190476190477,0.90476190476190477,21,2,18.0,attention
ObjectId(5da72ab514a5060002791583),MR. CRUMS,Walmart - Curitiba - Juvevê,5d89e8e1dcd22f0002496741,2019-10-21,0,0,0,0.0,0.0,21,5,24.0,ok
ObjectId(5da72abb14a506000279159a),MR. CRUMS,Big - Curitiba - Santa Felicidade,5d1652d3e141580002708d43,2019-10-21,1,19,1,0.047619047619047616,0.90476190476190477,21,5,22.0,ok
ObjectId(5da72abd14a50600027915a4),MR. CRUMS,Big - Curitiba - Xaxim,5d16487bb67b2200027fd0b0,2019-10-21,6,19,6,0.2857142857142857,0.90476190476190477,21,5,33.0,ok
ObjectId(5da72abd14a50600027915a9),MR. CRUMS,Big - Curitiba - Xaxim,5d89e8e1dcd22f0002496741,2019-10-18,0,0,0,0.0,0.0,21,5,27.0,ok
ObjectId(5da72abf14a50600027915da),MR. CRUMS,Big - Curitiba - Portão,5d16487bb67b2200027fd0b0,2019-10-21,9,19,9,0.42857142857142855,0.90476190476190477,21,5,24.0,ok
ObjectId(5da72abf14a50600027915df),MR. CRUMS,Big - Curitiba - Portão,5d1fa4239445ca0002ad77d8,2019-10-18,8,19,8,0.38095238095238093,0.90476190476190477,21,5,8.0,ok
ObjectId(5da72ac214a5060002791614),MR. CRUMS,Big - Curitiba - Pinheirinho (erro),5d16487bb67b2200027fd0b0,2019-10-21,3,19,3,0.14285714285714285,0.90476190476190477,21,5,28.0,ok
ObjectId(5da72ac714a5060002791663),MR. CRUMS,Mercadorama - Curitiba - Rebouças,5cc764c5e3cc6f00387529f3,2019-10-21,3,19,3,0.14285714285714285,0.90476190476190477,21,5,10.0,ok
ObjectId(5da72ac7d92f94000281db06),MR. CRUMS,Mercadorama - Curitiba - Rebouças,5d1fa4239445ca0002ad77d8,2019-10-18,2,19,2,0.095238095238095233,0.90476190476190477,21,4,57.0,ok
ObjectId(5da72acfd92f94000281db0b),MR. CRUMS,Mercadorama - Curitiba - Batel,5d1fffcea074a90002146a5e,2019-10-21,6,7,6,0.2857142857142857,0.33333333333333331,21,5,158.0,ok
ObjectId(5da72ad5d92f94000281db10),MR. CRUMS,Mercadorama - Curitiba - Comendador Araújo,5d1fffcea074a90002146a5e,2019-10-21,3,3,3,0.14285714285714285,0.14285714285714285,21,5,15.0,ok
ObjectId(5da72ad8fa24320002b0841b),MR. CRUMS,Mercadorama - Curitiba - XV de Novembro,5cc764c5e3cc6f00387529f3,2019-10-21,2,14,2,0.095238095238095233,0.66666666666666663,21,5,38.0,ok
ObjectId(5da72ad9d92f94000281db36),MR. CRUMS,Mercadorama - Curitiba - XV de Novembro,5cc764c5e3cc6f00387529f3,2019-10-18,6,15,6,0.2857142857142857,0.7142857142857143,21,5,9.0,ok
ObjectId(5da72adbd92f94000281db3b),MR. CRUMS,Walmart - Curitiba - Jardim das Américas,5d55d5b2bb4e0f0002312e00,2019-10-21,3,19,3,0.14285714285714285,0.90476190476190477,21,5,10.0,ok
ObjectId(5da72ae5fa24320002b08420),MR. CRUMS,Mercadorama - Curitiba - General Osório,5d1fffcea074a90002146a5e,2019-10-21,6,6,6,0.2857142857142857,0.2857142857142857,21,5,16.0,ok
ObjectId(5dae296c52e64e000271d669),MR. CRUMS,Big - Londrina - Helena,5d669adf3a6c7e0002b841f0,2019-10-22,3,19,3,0.14285714285714285,0.90476190476190477,21,5,21.0,ok
ObjectId(5dae297052e64e000271d66e),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-22,9,19,9,0.42857142857142855,0.90476190476190477,21,5,7.0,ok
ObjectId(5dae297252e64e000271d676),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-22,0,0,0,0.0,0.0,21,5,17.0,ok
ObjectId(5dae297652e64e000271d67b),MR. CRUMS,Big - Londrina - Helena,5d669adf3a6c7e0002b841f0,2019-10-22,0,0,0,0.0,0.0,21,5,40.0,ok
ObjectId(5dae29dcd0e3f20002fe51de),MR. CRUMS,Big - Curitiba - Boa Vista,5d90066411c9fd0002e7e431,2019-10-25,7,19,8,0.33333333333333331,0.90476190476190477,21,4,106.0,ok
ObjectId(5dae29ded0e3f20002fe51e3),MR. CRUMS,Big - Curitiba - Av. das Torres,5d16487bb67b2200027fd0b0,2019-10-25,6,20,6,0.2857142857142857,0.95238095238095233,21,5,32.0,ok
ObjectId(5dae29e1d0e3f20002fe51e8),MR. CRUMS,Big - Curitiba - Arthur Bernardes,5da65e0250aef7000222773b,2019-10-25,3,19,3,0.14285714285714285,0.90476190476190477,21,3,33.0,ok
ObjectId(5dae29e4d0e3f20002fe51ed),MR. CRUMS,Mercadorama - Curitiba - Bacacheri,5cebc12eb9a0660034789ef4,2019-10-25,4,21,4,0.19047619047619047,1.0,21,5,22.0,ok
ObjectId(5dae29e6d0e3f20002fe51f2),MR. CRUMS,Big - Curitiba - Pinheirinho,5d1fa4239445ca0002ad77d8,2019-10-25,6,21,6,0.2857142857142857,1.0,21,4,,ok
ObjectId(5dae29eed0e3f20002fe5201),MR. CRUMS,Walmart - Curitiba - Juvevê,5d90066411c9fd0002e7e431,2019-10-25,2,19,2,0.095238095238095233,0.90476190476190477,21,4,35.0,ok
ObjectId(5dae29f7d0e3f20002fe5210),MR. CRUMS,Big - Curitiba - Xaxim,5d1fa4239445ca0002ad77d8,2019-10-25,5,21,5,0.23809523809523808,1.0,21,5,4.0,ok
ObjectId(5dae29f9d0e3f20002fe5215),MR. CRUMS,Big - Curitiba - Portão,5da65e0250aef7000222773b,2019-10-25,11,19,11,0.52380952380952384,0.90476190476190477,21,4,18.0,ok
ObjectId(5dae29fcd0e3f20002fe521d),MR. CRUMS,Big - Curitiba - Pinheirinho (erro),5d1fa4239445ca0002ad77d8,2019-10-25,4,21,4,0.19047619047619047,1.0,21,5,4.0,ok
ObjectId(5dae29fed0e3f20002fe5222),MR. CRUMS,Big - Curitiba - Torres,5d16487bb67b2200027fd0b0,2019-10-25,3,18,3,0.14285714285714285,0.8571428571428571,21,5,21.0,ok
ObjectId(5dae2a01d0e3f20002fe5227),MR. CRUMS,Mercadorama - Curitiba - Rebouças,5cc764c5e3cc6f00387529f3,2019-10-25,8,21,8,0.38095238095238093,1.0,21,4,17.0,ok
ObjectId(5dae2a03d0e3f20002fe522c),MR. CRUMS,Mercadorama - Curitiba - Batel,5d1652d3e141580002708d43,2019-10-25,4,19,5,0.19047619047619047,0.90476190476190477,21,5,37.0,ok
ObjectId(5dae2a06d0e3f20002fe5231),MR. CRUMS,Mercadorama - Curitiba - Comendador Araújo,5cc764c5e3cc6f00387529f3,2019-10-25,7,21,7,0.33333333333333331,1.0,21,4,30.0,ok
ObjectId(5dae2a0852e64e000271d6ba),MR. CRUMS,Mercadorama - Curitiba - XV de Novembro,5cc764c5e3cc6f00387529f3,2019-10-25,3,21,3,0.14285714285714285,1.0,21,5,16.0,ok
ObjectId(5dae2a0ad0e3f20002fe5242),MR. CRUMS,Walmart - Curitiba - Jardim das Américas,5d16487bb67b2200027fd0b0,2019-10-25,4,19,4,0.19047619047619047,0.90476190476190477,21,5,19.0,ok
ObjectId(5dae2a0dd0e3f20002fe5247),MR. CRUMS,Mercadorama - Curitiba - General Osório,5cc764c5e3cc6f00387529f3,2019-10-25,4,19,5,0.19047619047619047,0.90476190476190477,21,5,9.0,ok
ObjectId(5dae2a0fd0e3f20002fe524c),MR. CRUMS,Big  - Foz do Iguaçu - Jardim Monjollo,5d557a20f880f500027c0405,2019-10-25,9,19,9,0.42857142857142855,0.90476190476190477,21,4,54.0,ok
ObjectId(5dae2a11d0e3f20002fe5254),MR. CRUMS,Big - Londrina - Helena,5d669adf3a6c7e0002b841f0,2019-10-25,8,19,8,0.38095238095238093,0.90476190476190477,21,5,20.0,ok
ObjectId(5dae2a52d0e3f20002fe5268),MR. CRUMS,Big - Curitiba - Boa Vista,5daa0f63e9af820002926a68,2019-10-28,7,21,7,0.33333333333333331,1.0,21,4,50.0,ok
ObjectId(5dae2a55d0e3f20002fe526d),MR. CRUMS,Big - Curitiba - Av. das Torres,5d16487bb67b2200027fd0b0,2019-10-28,5,18,5,0.23809523809523808,0.8571428571428571,21,5,47.0,ok
ObjectId(5dae2a5752e64e000271d6bf),MR. CRUMS,Big - Curitiba - Arthur Bernardes,5d89e8e1dcd22f0002496741,2019-10-28,1,9,1,0.047619047619047616,0.42857142857142855,21,3,8.0,ok
ObjectId(5dae2a5a52e64e000271d6c4),MR. CRUMS,Mercadorama - Curitiba - Bacacheri,5d55d5b2bb4e0f0002312e00,2019-10-28,0,19,0,0.0,0.90476190476190477,21,2,4.0,attention
ObjectId(5dae2a5c52e64e000271d6c9),MR. CRUMS,Big - Curitiba - Pinheirinho,5cc764c5e3cc6f00387529f3,2019-10-28,5,20,5,0.23809523809523808,0.95238095238095233,21,4,19.0,ok
ObjectId(5dae2a6452e64e000271d6f9),MR. CRUMS,Walmart - Curitiba - Juvevê,5da86820f83c3300028dd090,2019-10-28,4,14,5,0.19047619047619047,0.66666666666666663,21,4,184.0,ok
ObjectId(5dae2a6852e64e000271d709),MR. CRUMS,Big - Curitiba - Santa Felicidade,5dae645a554d5300020e450d,2019-10-28,0,0,0,0.0,0.0,21,3,11.0,ok
ObjectId(5dae2a6bd0e3f20002fe5275),MR. CRUMS,Big - Curitiba - Xaxim,5d1fa4239445ca0002ad77d8,2019-10-28,6,16,7,0.2857142857142857,0.76190476190476186,21,5,44.0,ok
ObjectId(5dae2a6dd0e3f20002fe527d),MR. CRUMS,Big - Curitiba - Portão,5cbf7e97c988da0039803bfb,2019-10-28,10,14,15,0.47619047619047616,0.66666666666666663,21,4,84.0,ok
ObjectId(5dae2a6fd0e3f20002fe5282),MR. CRUMS,Big - Curitiba - Pinheirinho (erro),5cc764c5e3cc6f00387529f3,2019-10-28,4,20,4,0.19047619047619047,0.95238095238095233,21,3,11.0,ok
ObjectId(5dae2a72d0e3f20002fe5287),MR. CRUMS,Big - Curitiba - Torres,5d16487bb67b2200027fd0b0,2019-10-28,3,19,3,0.14285714285714285,0.90476190476190477,21,3,39.0,ok
