activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e40ce57d67f897f6e3fc37c,5d28e7901313480002c6bb94,2020-02-17,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,0,0,0,0.0,0.0,12,,0,
5e3793e626cb0e000297fb48,,2020-02-10,JAYFEX CONSULTING,Super Boni - Bacacheri,0,0,0,0.0,0.0,12,,0,
5e40ce57d67f891bf33fc384,5de93585fbdfee0002c7bb24,2020-02-17,JAYFEX CONSULTING,Super Boni - Bacacheri,0,0,0,0.0,0.0,12,,0,
5e2ed63eb346a200028a7229,5ce92798b9a0660034752df0,2020-02-01,COCA-COLA FEMSA,Condor -  Araucária - Bairro Costeira,0,0,0,0.0,0.0,115,,0,
5e341b8805e3ee00026a3fa6,,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341b8905e3ee00026a3fab,5e166373e1dec80002b112d1,2020-02-04,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341b8905e3ee00026a3fb0,,2020-02-05,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341b8a05e3ee00026a3fb5,,2020-02-06,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341b8b05e3ee00026a3fba,,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341b879864cf00028b75cd,,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341b889864cf00028b75d2,,2020-02-04,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341b899864cf00028b75d7,,2020-02-05,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341b8a9864cf00028b75dc,,2020-02-06,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341b8b9864cf00028b75e1,,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341b88318f560002383c49,5e166373e1dec80002b112d1,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341b89318f560002383c4e,,2020-02-04,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341b8a318f560002383c53,,2020-02-05,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341b8a318f560002383c58,,2020-02-06,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341b8b318f560002383c5d,,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341c0205e3ee00026a3fcb,5e194db2dc31d10002717961,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,115,,0,
5e341c0305e3ee00026a3fd0,,2020-02-04,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,115,,0,
5e341c0a5c9f1a000292159e,5ddc5f0563d849000252747e,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,115,,0,
5e341c0c5c9f1a00029215a8,5dd07e89596a5300027525f6,2020-02-05,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,115,,0,
5e34f0e1ec94bd0002d18ebf,5d4ca3dd8584f200027201be,2020-02-08,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,115,,0,
5e341c85318f560002383c97,5e166373e1dec80002b112d1,2020-02-06,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341c86318f560002383c9c,,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,314,,0,
5e341c865c9f1a0002921634,5e262c3aaa7b0f0002f1f2c4,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,314,,0,
5e341c8305e3ee00026a3fed,5dd674384fe0c0000245ea16,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,314,,0,
5e341cb15c9f1a0002921639,5e163e332d6ee80002885ece,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,28,,0,
5e341cb35c9f1a000292163e,5df6b310cb2a980002b788d3,2020-02-04,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,28,,0,
5e341cb85c9f1a0002921643,5df6b310cb2a980002b788d3,2020-02-05,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,28,,0,
5e341cba5c9f1a000292164d,5d900d1617a9e500023b6700,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Boa Vista,0,0,0,0.0,0.0,28,,0,
5e341d0605e3ee00026a44d4,5ddc5f0563d849000252747e,2020-02-03,COCA-COLA FEMSA,Big - Curitiba - Portão,0,0,0,0.0,0.0,174,,0,
5e341d0c318f560002383cfe,5de2d6781e8d74000219525e,2020-02-07,COCA-COLA FEMSA,Big - Curitiba - Av. das Torres,0,0,0,0.0,0.0,174,,0,
5e3478d5db6abc0002545101,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e3478d414eacf000272e666,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e34791114eacf000272e699,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e34791114eacf000272e69e,,2020-02-05,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,40,,0,
5e347910db6abc000254510b,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e347912db6abc0002545115,,2020-02-07,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,40,,0,
5e347931db6abc000254511a,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Arthur Bernardes,0,0,0,0.0,0.0,41,,0,
5e34793014eacf000272e6d8,,2020-02-03,STIVAL ALIMENTOS INDUSTRIA E COMERCIO S/A,Big - Curitiba - Portão,0,0,0,0.0,0.0,41,,0,
